hhcode,sec,fortnightly,food,s12bq03,s12bq04,s12bq05,s12bq06,s12bq07,s12bq08,Totalincome,Region,Province,hhsize,Real_income,,
10011100101,BSB,3728,96928,13262,159144,4300,51600,13550,13550,321222,urban,Punjab,9,101013.2075,,
10011100102,BSB,2840,73840,6310,75720,2850,34200,31900,31900,215660,urban,Punjab,7,67817.61006,,10000
10011100103,BSB,2948,76648,4320,51840,1550,18600,19920,19920,167008,urban,Punjab,6,52518.23899,,20000
10011100104,BSB,2466,64116,5920,71040,1740,20880,9925,9925,165961,urban,Punjab,8,52188.99371,,30000
10011100105,BSB,2575,66950,4635,55620,950,11400,13870,13870,147840,urban,Punjab,6,46490.56604,,40000
10011100106,BSB,1907,49582,2895,34740,1330,15960,13210,13210,113492,urban,Punjab,5,35689.30818,,50000
10011100107,BSB,3328,86528,5995,71940,2350,28200,48350,48350,235018,urban,Punjab,6,73905.03145,,60000
10011100108,BSB,1167,30342,1869,22428,2450,29400,4850,4850,87020,urban,Punjab,2,27364.77987,,70000
10011100110,BSB,1693,44018,3943,47316,1080,12960,16000,16000,120294,urban,Punjab,4,37828.30189,,80000
10011100111,BSB,3370,87620,6118,73416,6650,79800,36668,36668,277504,urban,Punjab,10,87265.40881,,90000
10011100112,BSB,3939,102414,5803,69636,900,10800,158130,158130,340980,urban,Punjab,8,107226.4151,,100000
10011200101,BSB,2093,54418,6350,76200,950,11400,7760,7760,149778,urban,Punjab,5,47100,,110000
10011200102,BSB,1622,42172,4840,58080,1400,16800,22970,22970,140022,urban,Punjab,6,44032.07547,,120000
10011200103,BSB,4745,123370,7115,85380,2350,28200,37100,37100,274050,urban,Punjab,9,86179.24528,,130000
10011200104,BSB,2008,52208,4305,51660,2350,28200,3450,3450,135518,urban,Punjab,2,42615.72327,,140000
10011200105,BSB,8411,218686,12424,149088,4750,57000,114800,114800,539574,urban,Punjab,19,169677.3585,,150000
10011200106,BSB,3982,103532,6045,72540,3000,36000,31850,31850,243922,urban,Punjab,7,76705.03145,,160000
10011200107,BSB,1770,46020,2324,27888,5600,67200,9500,9500,150608,urban,Punjab,4,47361.00629,,170000
10011200108,BSB,1447,37622,3960,47520,1500,18000,25170,25170,128312,urban,Punjab,4,40349.68553,,180000
10011200109,BSB,2533,65858,5367,64404,6500,78000,28000,28000,236262,urban,Punjab,5,74296.22642,,190000
10011200110,BSB,3017,78442,6269,75228,1800,21600,185150,185150,360420,urban,Punjab,8,113339.6226,,200000
10011200111,BSB,5000,130000,9665,115980,12600,151200,29600,29600,426780,urban,Punjab,11,134207.5472,,210000
10011200112,BSB,3175,82550,5925,71100,4875,58500,30940,30940,243090,urban,Punjab,6,76443.39623,,220000
10011300101,BSB,843,21918,1933,23196,1050,12600,18070,18070,75784,urban,Punjab,4,23831.44654,,230000
10011300102,BSB,1829,47554,2062,24744,1250,15000,16970,16970,104268,urban,Punjab,1,32788.67925,,240000
10011300103,BSB,370,9620,3005,36060,1200,14400,10750,10750,70830,urban,Punjab,2,22273.58491,,250000
10011300104,BSB,1494,38844,3245,38940,125,1500,24000,24000,103284,urban,Punjab,4,32479.24528,,260000
10011300105,BSB,1564,40664,3867,46404,1370,16440,23020,23020,126528,urban,Punjab,6,39788.67925,,270000
10011300106,BSB,1208,31408,2850,34200,950,11400,11110,11110,88118,urban,Punjab,4,27710.06289,,280000
10011300107,BSB,1553,40378,3702,44424,1125,13500,9550,9550,107852,urban,Punjab,4,33915.72327,,290000
10011300108,BSB,904,23504,5320,63840,4350,52200,13670,13670,153214,urban,Punjab,8,48180.50314,,300000
10011300109,BSB,1868,48568,3261,39132,1615,19380,34675,34675,141755,urban,Punjab,5,44577.04403,,
10011300110,BSB,1135,29510,2257,27084,1470,17640,18125,18125,92359,urban,Punjab,1,29043.71069,,
10011300111,BSB,1245,32370,3360,40320,1050,12600,27600,27600,112890,urban,Punjab,5,35500,,
10011300112,BSB,1927,50102,3090,37080,522,6264,19360,19360,112806,urban,Punjab,6,35473.58491,,
10011400101,BSB,2381,61906,4265,51180,3800,45600,75550,75550,234236,urban,Punjab,8,73659.1195,,
10011400102,BSB,399,10374,1784,21408,450,5400,3700,3700,40882,urban,Punjab,6,12855.97484,,
10011400103,BSB,1885,49010,3711,44532,7550,90600,79455,79455,263597,urban,Punjab,3,82892.13836,,
10011400104,BSB,1500,39000,4351,52212,1800,21600,7730,7730,120542,urban,Punjab,7,37906.28931,,
10011400105,BSB,4287,111462,7887,94644,1850,22200,119350,119350,347656,urban,Punjab,12,109325.7862,,
10011400106,BSB,2451,63726,5003,60036,3560,42720,73520,73520,240002,urban,Punjab,8,75472.32704,,
10011400107,BSB,1699,44174,2119,25428,250,3000,12240,12240,84842,urban,Punjab,3,26679.87421,,
10011400108,BSB,2984,77584,8048,96576,3100,37200,82200,82200,293560,urban,Punjab,12,92314.46541,,
10011400109,BSB,4249,110474,8920,107040,1800,21600,92430,92430,331544,urban,Punjab,12,104259.1195,,
10011400110,BSB,1951,50726,5257,63084,3200,38400,31150,31150,183360,urban,Punjab,7,57660.37736,,
10011400112,BSB,2528,65728,4951,59412,1900,22800,38850,38850,186790,urban,Punjab,4,58738.99371,,
10012100102,BSB,3202,83252,5013,60156,2200,26400,24500,24500,194308,urban,Punjab,17,61103.14465,,
10012100103,BSB,6814,177164,16661,199932,6625,79500,97930,97930,554526,urban,Punjab,5,174379.2453,,
10012100104,BSB,5678,147628,12706,152472,9750,117000,64580,64580,481680,urban,Punjab,10,151471.6981,,
10012100105,BSB,8784,228384,15704,188448,5500,66000,37855,37855,520687,urban,Punjab,8,163738.0503,,
10012100106,BSB,6594,171444,8137,97644,5350,64200,58480,58480,391768,urban,Punjab,10,123197.4843,,
10012100107,BSB,1318,34268,380,4560,800,9600,20450,20450,68878,urban,Punjab,1,21659.74843,,
10012100108,BSB,5551,144326,7028,84336,4850,58200,38640,38640,325502,urban,Punjab,6,102359.1195,,
10012100110,BSB,3426,89076,7399,88788,3450,41400,21040,21040,240304,urban,Punjab,7,75567.2956,,
10012100111,BSB,6281,163306,11720,140640,6390,76680,75400,75400,456026,urban,Punjab,10,143404.4025,,
10012100112,BSB,3669,95394,11466,137592,5890,70680,64750,64750,368416,urban,Punjab,6,115854.0881,,
10012200101,BSB,3007,78182,4815,57780,3250,39000,17300,17300,192262,urban,Punjab,5,60459.74843,,
